context_type,context_type_encoded,role,cohort,standardized_dimension,standardized_label,count,bins,filename
Original,0,farmer,camera,crop,bottom cropped,1,21,farmer
Original,0,farmer,camera,crop,bottom edge crops lower legs,1,21,farmer
Original,0,farmer,camera,crop,excludes lower legs footwear,1,21,farmer
Original,0,farmer,camera,crop,hands,1,21,farmer
Original,0,farmer,camera,crop,includes foreground rug background window,1,21,farmer
Original,0,farmer,camera,crop,includes torso lap,1,21,farmer
Original,0,farmer,camera,crop,left forearm partial,1,21,farmer
Original,0,farmer,camera,crop,lower body cropped,2,21,farmer
Original,0,farmer,camera,crop,lower lap area cropped,1,21,farmer
Original,0,farmer,camera,crop,lower legs cropped,3,21,farmer
Original,0,farmer,camera,crop,lower legs out of frame,3,21,farmer
Original,0,farmer,camera,crop,other variants singles,4,21,farmer
Original,0,farmer,camera,crop,partial lower legs,1,21,farmer
Original,0,farmer,camera,crop,right boot partial,1,21,farmer
Original,0,farmer,camera,crop,right cushion area partially cropped,1,21,farmer
Original,0,farmer,camera,crop,right shoe bottom cropped,1,21,farmer
Original,0,farmer,camera,crop,right side,1,21,farmer
Original,0,farmer,camera,crop,subject centered,1,21,farmer
Original,0,farmer,camera,crop,torso,1,21,farmer
Original,0,farmer,camera,crop,torso and hands included,1,21,farmer
Original,0,farmer,camera,depth_of_field,deep,4,3,farmer
Original,0,farmer,camera,depth_of_field,moderate,2,3,farmer
Original,0,farmer,camera,depth_of_field,shallow,51,3,farmer
Original,0,farmer,camera,focal_length,normal,10,2,farmer
Original,0,farmer,camera,focal_length,telephoto,22,2,farmer
Original,0,farmer,camera,framing,close up,7,6,farmer
Original,0,farmer,camera,framing,establishing,8,6,farmer
Original,0,farmer,camera,framing,full body,3,6,farmer
Original,0,farmer,camera,framing,headshot,4,6,farmer
Original,0,farmer,camera,framing,medium,51,6,farmer
Original,0,farmer,camera,framing,wide,6,6,farmer
Original,0,farmer,camera,perspective,eye level,43,2,farmer
Original,0,farmer,camera,perspective,low angle,5,2,farmer
Original,0,farmer,environment,ceiling_color,gray,6,1,farmer
Original,0,farmer,environment,ceiling_material,clouds,3,2,farmer
Original,0,farmer,environment,ceiling_material,sky,3,2,farmer
Original,0,farmer,environment,ceiling_texture,cloud filled,1,4,farmer
Original,0,farmer,environment,ceiling_texture,diffuse,1,4,farmer
Original,0,farmer,environment,ceiling_texture,layered,3,4,farmer
Original,0,farmer,environment,ceiling_texture,textured,1,4,farmer
Original,0,farmer,environment,floor_color,brown,21,6,farmer
Original,0,farmer,environment,floor_color,darkgreen,2,6,farmer
Original,0,farmer,environment,floor_color,gold,2,6,farmer
Original,0,farmer,environment,floor_color,green,2,6,farmer
Original,0,farmer,environment,floor_color,palegreen,1,6,farmer
Original,0,farmer,environment,floor_color,tan,1,6,farmer
Original,0,farmer,environment,floor_condition,brittle,3,32,farmer
Original,0,farmer,environment,floor_condition,compacted,2,32,farmer
Original,0,farmer,environment,floor_condition,covered by crop,1,32,farmer
Original,0,farmer,environment,floor_condition,crumbly,1,32,farmer
Original,0,farmer,environment,floor_condition,cultivated,2,32,farmer
Original,0,farmer,environment,floor_condition,disturbed,1,32,farmer
Original,0,farmer,environment,floor_condition,dry,7,32,farmer
Original,0,farmer,environment,floor_condition,dry appearing,1,32,farmer
Original,0,farmer,environment,floor_condition,dusty,3,32,farmer
Original,0,farmer,environment,floor_condition,evenly spaced,1,32,farmer
Original,0,farmer,environment,floor_condition,freshly disturbed,1,32,farmer
Original,0,farmer,environment,floor_condition,freshly tilled,4,32,farmer
Original,0,farmer,environment,floor_condition,harvested,1,32,farmer
Original,0,farmer,environment,floor_condition,healthy,2,32,farmer
Original,0,farmer,environment,floor_condition,healthy appearing,1,32,farmer
Original,0,farmer,environment,floor_condition,loose,1,32,farmer
Original,0,farmer,environment,floor_condition,loose textured,1,32,farmer
Original,0,farmer,environment,floor_condition,mature,2,32,farmer
Original,0,farmer,environment,floor_condition,moist,2,32,farmer
Original,0,farmer,environment,floor_condition,moist appearing,1,32,farmer
Original,0,farmer,environment,floor_condition,receding ridges,1,32,farmer
Original,0,farmer,environment,floor_condition,recently disturbed,1,32,farmer
Original,0,farmer,environment,floor_condition,recently tilled,1,32,farmer
Original,0,farmer,environment,floor_condition,recently worked,1,32,farmer
Original,0,farmer,environment,floor_condition,slightly dry,1,32,farmer
Original,0,farmer,environment,floor_condition,smooth compacted,1,32,farmer
Original,0,farmer,environment,floor_condition,tilled,1,32,farmer
Original,0,farmer,environment,floor_condition,uniform,1,32,farmer
Original,0,farmer,environment,floor_condition,weathered,1,32,farmer
Original,0,farmer,environment,floor_condition,well turned,1,32,farmer
Original,0,farmer,environment,floor_condition,well used,1,32,farmer
Original,0,farmer,environment,floor_condition,worn,1,32,farmer
Original,0,farmer,environment,floor_finish,matte,22,2,farmer
Original,0,farmer,environment,floor_finish,specular highlights,1,2,farmer
Original,0,farmer,environment,floor_material,cereal crop,1,14,farmer
Original,0,farmer,environment,floor_material,compacted soil,1,14,farmer
Original,0,farmer,environment,floor_material,crop stubble,1,14,farmer
Original,0,farmer,environment,floor_material,earth,2,14,farmer
Original,0,farmer,environment,floor_material,grass,1,14,farmer
Original,0,farmer,environment,floor_material,loam,2,14,farmer
Original,0,farmer,environment,floor_material,loamy soil,1,14,farmer
Original,0,farmer,environment,floor_material,organic,1,14,farmer
Original,0,farmer,environment,floor_material,plant stalks,1,14,farmer
Original,0,farmer,environment,floor_material,plant stubble,1,14,farmer
Original,0,farmer,environment,floor_material,soil,19,14,farmer
Original,0,farmer,environment,floor_material,straw,2,14,farmer
Original,0,farmer,environment,floor_material,trees,1,14,farmer
Original,0,farmer,environment,floor_material,vegetation,3,14,farmer
Original,0,farmer,environment,floor_texture,brittle,1,36,farmer
Original,0,farmer,environment,floor_texture,clod textured,1,36,farmer
Original,0,farmer,environment,floor_texture,coarse,1,36,farmer
Original,0,farmer,environment,floor_texture,coarse crumb,1,36,farmer
Original,0,farmer,environment,floor_texture,coarse textured,1,36,farmer
Original,0,farmer,environment,floor_texture,compacted,3,36,farmer
Original,0,farmer,environment,floor_texture,crumbly,2,36,farmer
Original,0,farmer,environment,floor_texture,crushed,1,36,farmer
Original,0,farmer,environment,floor_texture,dense,2,36,farmer
Original,0,farmer,environment,floor_texture,dry,2,36,farmer
Original,0,farmer,environment,floor_texture,dry textured,1,36,farmer
Original,0,farmer,environment,floor_texture,dusty,1,36,farmer
Original,0,farmer,environment,floor_texture,fibrous,5,36,farmer
Original,0,farmer,environment,floor_texture,fibrous crop residue,1,36,farmer
Original,0,farmer,environment,floor_texture,fine crumb,1,36,farmer
Original,0,farmer,environment,floor_texture,fine granular,1,36,farmer
Original,0,farmer,environment,floor_texture,finely tilled,1,36,farmer
Original,0,farmer,environment,floor_texture,furrowed,4,36,farmer
Original,0,farmer,environment,floor_texture,glossy leaves,1,36,farmer
Original,0,farmer,environment,floor_texture,granular,7,36,farmer
Original,0,farmer,environment,floor_texture,leafy,2,36,farmer
Original,0,farmer,environment,floor_texture,loam,3,36,farmer
Original,0,farmer,environment,floor_texture,loose,1,36,farmer
Original,0,farmer,environment,floor_texture,loose textured,1,36,farmer
Original,0,farmer,environment,floor_texture,mowed,1,36,farmer
Original,0,farmer,environment,floor_texture,papery,1,36,farmer
Original,0,farmer,environment,floor_texture,raked,1,36,farmer
Original,0,farmer,environment,floor_texture,ridged,9,36,farmer
Original,0,farmer,environment,floor_texture,rough,2,36,farmer
Original,0,farmer,environment,floor_texture,slender stalk,1,36,farmer
Original,0,farmer,environment,floor_texture,smooth,3,36,farmer
Original,0,farmer,environment,floor_texture,smooth waxy,1,36,farmer
Original,0,farmer,environment,floor_texture,stubbled,1,36,farmer
Original,0,farmer,environment,floor_texture,textured,2,36,farmer
Original,0,farmer,environment,floor_texture,tilled,1,36,farmer
Original,0,farmer,environment,floor_texture,tilled variant,0,36,farmer
Original,0,farmer,environment,location_type,agricultural field,24,15,farmer
Original,0,farmer,environment,location_type,agricultural planting field,1,15,farmer
Original,0,farmer,environment,location_type,domestic reading space,1,15,farmer
Original,0,farmer,environment,location_type,domestic sitting area,2,15,farmer
Original,0,farmer,environment,location_type,farmland,3,15,farmer
Original,0,farmer,environment,location_type,farmyard,1,15,farmer
Original,0,farmer,environment,location_type,living room,15,15,farmer
Original,0,farmer,environment,location_type,reading nook,1,15,farmer
Original,0,farmer,environment,location_type,residential living space,2,15,farmer
Original,0,farmer,environment,location_type,residential sitting area,2,15,farmer
Original,0,farmer,environment,location_type,rural farmland,1,15,farmer
Original,0,farmer,environment,location_type,rural living area,2,15,farmer
Original,0,farmer,environment,location_type,rustic living room,2,15,farmer
Original,0,farmer,environment,location_type,wooden cabin interior,2,15,farmer
Original,0,farmer,environment,location_type,wooden cabin reading space,1,15,farmer
Original,0,farmer,environment,openness,open,10,1,farmer
Original,0,farmer,environment,spatial_layout_depth,compressed,1,5,farmer
Original,0,farmer,environment,spatial_layout_depth,deep,8,5,farmer
Original,0,farmer,environment,spatial_layout_depth,moderate,20,5,farmer
Original,0,farmer,environment,spatial_layout_depth,open,1,5,farmer
Original,0,farmer,environment,spatial_layout_depth,shallow,15,5,farmer
Original,0,farmer,environment,spatial_layout_openness,enclosed,6,4,farmer
Original,0,farmer,environment,spatial_layout_openness,expansive,1,4,farmer
Original,0,farmer,environment,spatial_layout_openness,moderate,1,4,farmer
Original,0,farmer,environment,spatial_layout_openness,open,17,4,farmer
Original,0,farmer,environment,time_of_day_hint,afternoon,20,4,farmer
Original,0,farmer,environment,time_of_day_hint,dusk,2,4,farmer
Original,0,farmer,environment,time_of_day_hint,evening,4,4,farmer
Original,0,farmer,environment,time_of_day_hint,noon,2,4,farmer
Original,0,farmer,environment,weather,clear,5,5,farmer
Original,0,farmer,environment,weather,cloudy,11,5,farmer
Original,0,farmer,environment,weather,overcast,10,5,farmer
Original,0,farmer,environment,weather,storm,1,5,farmer
Original,0,farmer,environment,weather,sunny,3,5,farmer
Original,0,farmer,lighting,artifacts,artifact faint eyeglass reflection,1,10,farmer
Original,0,farmer,lighting,artifacts,artifact mild reflection eyeglass lenses,2,10,farmer
Original,0,farmer,lighting,artifacts,artifact minor specular book edges,1,10,farmer
Original,0,farmer,lighting,artifacts,artifact minor specular glasses,1,10,farmer
Original,0,farmer,lighting,artifacts,artifact specular highlights on leather glazed pot,1,10,farmer
Original,0,farmer,lighting,artifacts,artifact subtle reflection eyeglass frames,1,10,farmer
Original,0,farmer,lighting,artifacts,artifact warm lens glow upper right,1,10,farmer
Original,0,farmer,lighting,artifacts,bokeh,1,10,farmer
Original,0,farmer,lighting,artifacts,rim highlight,1,10,farmer
Original,0,farmer,lighting,artifacts,specular highlights,1,10,farmer
Original,0,farmer,lighting,color_temperature,cool,5,3,farmer
Original,0,farmer,lighting,color_temperature,neutral,2,3,farmer
Original,0,farmer,lighting,color_temperature,warm,62,3,farmer
Original,0,farmer,lighting,contrast_level,high,5,2,farmer
Original,0,farmer,lighting,contrast_level,medium,58,2,farmer
Original,0,farmer,lighting,directionality,backlight,7,4,farmer
Original,0,farmer,lighting,directionality,side light,2,4,farmer
Original,0,farmer,lighting,directionality,sidelight,6,4,farmer
Original,0,farmer,lighting,directionality,top light,3,4,farmer
Original,0,farmer,lighting,hardness,medium,1,2,farmer
Original,0,farmer,lighting,hardness,soft,43,2,farmer
Original,0,farmer,lighting,saturation_level,neutral,34,2,farmer
Original,0,farmer,lighting,saturation_level,vivid,25,2,farmer
Original,0,farmer,lighting,shadows,casting,2,3,farmer
Original,0,farmer,lighting,shadows,medium,1,3,farmer
Original,0,farmer,lighting,shadows,soft,67,3,farmer
Original,0,farmer,lighting,sources_count,four or more,1,4,farmer
Original,0,farmer,lighting,sources_count,one,28,4,farmer
Original,0,farmer,lighting,sources_count,one source,15,4,farmer
Original,0,farmer,lighting,sources_count,two,2,4,farmer
Original,0,farmer,lighting,sources_directionality,backlight,5,3,farmer
Original,0,farmer,lighting,sources_directionality,sidelight,5,3,farmer
Original,0,farmer,lighting,sources_directionality,toplight,3,3,farmer
Original,0,farmer,lighting,sources_hardness,soft,10,2,farmer
Original,0,farmer,lighting,sources_hardness,soft light,10,2,farmer
Original,0,farmer,lighting,sources_type,artificial light,1,3,farmer
Original,0,farmer,lighting,sources_type,light source artificial,2,3,farmer
Original,0,farmer,lighting,sources_type,mixed,1,3,farmer
Original,0,farmer,objects,color,beige,9,20,farmer
Original,0,farmer,objects,color,black,4,20,farmer
Original,0,farmer,objects,color,blue,1,20,farmer
Original,0,farmer,objects,color,brown,41,20,farmer
Original,0,farmer,objects,color,crimson,1,20,farmer
Original,0,farmer,objects,color,darkblue,4,20,farmer
Original,0,farmer,objects,color,darkgreen,13,20,farmer
Original,0,farmer,objects,color,darkviolet,1,20,farmer
Original,0,farmer,objects,color,gold,4,20,farmer
Original,0,farmer,objects,color,gray,4,20,farmer
Original,0,farmer,objects,color,green,19,20,farmer
Original,0,farmer,objects,color,khaki,2,20,farmer
Original,0,farmer,objects,color,lightyellow,1,20,farmer
Original,0,farmer,objects,color,orangered,1,20,farmer
Original,0,farmer,objects,color,palegreen,1,20,farmer
Original,0,farmer,objects,color,red,5,20,farmer
Original,0,farmer,objects,color,silver,3,20,farmer
Original,0,farmer,objects,color,tan,6,20,farmer
Original,0,farmer,objects,color,white,2,20,farmer
Original,0,farmer,objects,color,yellow,3,20,farmer
Original,0,farmer,objects,material,clouds,1,19,farmer
Original,0,farmer,objects,material,cotton,2,19,farmer
Original,0,farmer,objects,material,denim,1,19,farmer
Original,0,farmer,objects,material,hay,1,19,farmer
Original,0,farmer,objects,material,leather,1,19,farmer
Original,0,farmer,objects,material,metal,8,19,farmer
Original,0,farmer,objects,material,painted roof,1,19,farmer
Original,0,farmer,objects,material,plant,26,19,farmer
Original,0,farmer,objects,material,rubber,3,19,farmer
Original,0,farmer,objects,material,soil,23,19,farmer
Original,0,farmer,objects,material,straw,21,19,farmer
Original,0,farmer,objects,material,vegetation,3,19,farmer
Original,0,farmer,objects,material,wicker,1,19,farmer
Original,0,farmer,objects,material,wood,7,19,farmer
Original,0,farmer,objects,material,woven straw,2,19,farmer
Original,0,farmer,objects,object_colors,beige,2,11,farmer
Original,0,farmer,objects,object_colors,black,2,11,farmer
Original,0,farmer,objects,object_colors,brown,12,11,farmer
Original,0,farmer,objects,object_colors,darkgreen,11,11,farmer
Original,0,farmer,objects,object_colors,gold,11,11,farmer
Original,0,farmer,objects,object_colors,gray,3,11,farmer
Original,0,farmer,objects,object_colors,green,14,11,farmer
Original,0,farmer,objects,object_colors,lightcyan,1,11,farmer
Original,0,farmer,objects,object_colors,red,3,11,farmer
Original,0,farmer,objects,object_colors,tan,2,11,farmer
Original,0,farmer,objects,object_colors,violet,1,11,farmer
Original,0,farmer,objects,object_materials,cereal crop,6,11,farmer
Original,0,farmer,objects,object_materials,foliage,6,11,farmer
Original,0,farmer,objects,object_materials,glass,1,11,farmer
Original,0,farmer,objects,object_materials,metal,2,11,farmer
Original,0,farmer,objects,object_materials,painted surface,1,11,farmer
Original,0,farmer,objects,object_materials,plant,10,11,farmer
Original,0,farmer,objects,object_materials,plant stalks,4,11,farmer
Original,0,farmer,objects,object_materials,rubber,2,11,farmer
Original,0,farmer,objects,object_materials,soil,8,11,farmer
Original,0,farmer,objects,object_materials,straw,3,11,farmer
Original,0,farmer,objects,object_materials,wood,1,11,farmer
Original,0,farmer,objects,object_texture,dense leafy,21,3,farmer
Original,0,farmer,objects,object_texture,fibrous,12,3,farmer
Original,0,farmer,objects,object_texture,matte,0,3,farmer
Original,0,farmer,objects,plane,background,73,6,farmer
Original,0,farmer,objects,plane,foreground,107,6,farmer
Original,0,farmer,objects,plane,midground,101,6,farmer
Original,0,farmer,objects,side,center,120,6,farmer
Original,0,farmer,objects,side,left,72,6,farmer
Original,0,farmer,objects,side,right,89,6,farmer
Original,0,farmer,objects,subtype_counts,blurred treeline band,1,11,farmer
Original,0,farmer,objects,subtype_counts,clouds,1,11,farmer
Original,0,farmer,objects,subtype_counts,distant trees roofs,1,11,farmer
Original,0,farmer,objects,subtype_counts,long handled shovel,1,11,farmer
Original,0,farmer,objects,subtype_counts,planted rows,38,11,farmer
Original,0,farmer,objects,subtype_counts,small red structures partial,1,11,farmer
Original,0,farmer,objects,subtype_counts,straw hat,5,11,farmer
Original,0,farmer,objects,subtype_counts,wide brimmed sunhat,1,11,farmer
Original,0,farmer,objects,subtype_counts,work boots,1,11,farmer
Original,0,farmer,objects,subtype_counts,work gloves,4,11,farmer
Original,0,farmer,objects,subtype_counts,work pants,1,11,farmer
Original,0,farmer,objects,type,accessory,2,108,farmer
Original,0,farmer,objects,type,agricultural,1,108,farmer
Original,0,farmer,objects,type,agricultural product,3,108,farmer
Original,0,farmer,objects,type,appliance,1,108,farmer
Original,0,farmer,objects,type,architecture,8,108,farmer
Original,0,farmer,objects,type,armchair,1,108,farmer
Original,0,farmer,objects,type,bird shaped,1,108,farmer
Original,0,farmer,objects,type,blurred exterior vegetation,1,108,farmer
Original,0,farmer,objects,type,book,14,108,farmer
Original,0,farmer,objects,type,bookcase,47,108,farmer
Original,0,farmer,objects,type,bookshelf,3,108,farmer
Original,0,farmer,objects,type,boots,2,108,farmer
Original,0,farmer,objects,type,bowls,1,108,farmer
Original,0,farmer,objects,type,building,1,108,farmer
Original,0,farmer,objects,type,building silhouette,2,108,farmer
Original,0,farmer,objects,type,bundle,1,108,farmer
Original,0,farmer,objects,type,clothing,2,108,farmer
Original,0,farmer,objects,type,container,1,108,farmer
Original,0,farmer,objects,type,couch,4,108,farmer
Original,0,farmer,objects,type,crop residue band,1,108,farmer
Original,0,farmer,objects,type,crop rows,6,108,farmer
Original,0,farmer,objects,type,crop strips,1,108,farmer
Original,0,farmer,objects,type,cultivated field,1,108,farmer
Original,0,farmer,objects,type,curtain panel,1,108,farmer
Original,0,farmer,objects,type,cushion,1,108,farmer
Original,0,farmer,objects,type,decor,4,108,farmer
Original,0,farmer,objects,type,decorative bowl,1,108,farmer
Original,0,farmer,objects,type,decorative pillow,1,108,farmer
Original,0,farmer,objects,type,dirt path,1,108,farmer
Original,0,farmer,objects,type,farm tractor,1,108,farmer
Original,0,farmer,objects,type,fence,2,108,farmer
Original,0,farmer,objects,type,footwear,3,108,farmer
Original,0,farmer,objects,type,framed artwork,2,108,farmer
Original,0,farmer,objects,type,furniture,22,108,farmer
Original,0,farmer,objects,type,furniture sofa subtype mapping exists,13,108,farmer
Original,0,farmer,objects,type,furrowed,1,108,farmer
Original,0,farmer,objects,type,garment,1,108,farmer
Original,0,farmer,objects,type,glass jars,2,108,farmer
Original,0,farmer,objects,type,ground,2,108,farmer
Original,0,farmer,objects,type,ground feature,4,108,farmer
Original,0,farmer,objects,type,hand covering,3,108,farmer
Original,0,farmer,objects,type,hand held crop fragments,1,108,farmer
Original,0,farmer,objects,type,hand tool,4,108,farmer
Original,0,farmer,objects,type,hanging potted plant,1,108,farmer
Original,0,farmer,objects,type,hat,13,108,farmer
Original,0,farmer,objects,type,head wear,1,108,farmer
Original,0,farmer,objects,type,headwear,2,108,farmer
Original,0,farmer,objects,type,hedgerow,1,108,farmer
Original,0,farmer,objects,type,indistinct,1,108,farmer
Original,0,farmer,objects,type,labeled cylindrical container,1,108,farmer
Original,0,farmer,objects,type,landform,2,108,farmer
Original,0,farmer,objects,type,landscape,3,108,farmer
Original,0,farmer,objects,type,leafy bundle,1,108,farmer
Original,0,farmer,objects,type,livestock,1,108,farmer
Original,0,farmer,objects,type,loose straw,1,108,farmer
Original,0,farmer,objects,type,machinery,1,108,farmer
Original,0,farmer,objects,type,multi pane window,2,108,farmer
Original,0,farmer,objects,type,object,6,108,farmer
Original,0,farmer,objects,type,object headwear merged head wear,9,108,farmer
Original,0,farmer,objects,type,object soil,39,108,farmer
Original,0,farmer,objects,type,object tree line merged treeline,3,108,farmer
Original,0,farmer,objects,type,open storage shelf,1,108,farmer
Original,0,farmer,objects,type,pathway,1,108,farmer
Original,0,farmer,objects,type,person object annotation,1,108,farmer
Original,0,farmer,objects,type,plant,14,108,farmer
Original,0,farmer,objects,type,plant bundle,1,108,farmer
Original,0,farmer,objects,type,pole,1,108,farmer
Original,0,farmer,objects,type,potted houseplant,1,108,farmer
Original,0,farmer,objects,type,potted leafy plant,1,108,farmer
Original,0,farmer,objects,type,potted plant,9,108,farmer
Original,0,farmer,objects,type,rectangular multi pane,1,108,farmer
Original,0,farmer,objects,type,rubber boots,1,108,farmer
Original,0,farmer,objects,type,sculpture,1,108,farmer
Original,0,farmer,objects,type,shelf,6,108,farmer
Original,0,farmer,objects,type,shoe,1,108,farmer
Original,0,farmer,objects,type,sky,7,108,farmer
Original,0,farmer,objects,type,sofa,17,108,farmer
Original,0,farmer,objects,type,soil,1,108,farmer
Original,0,farmer,objects,type,soil patch,1,108,farmer
Original,0,farmer,objects,type,storage,4,108,farmer
Original,0,farmer,objects,type,straw bales,1,108,farmer
Original,0,farmer,objects,type,straw bundle,2,108,farmer
Original,0,farmer,objects,type,straw cowboy hat,1,108,farmer
Original,0,farmer,objects,type,straw hat,2,108,farmer
Original,0,farmer,objects,type,structure,4,108,farmer
Original,0,farmer,objects,type,structures treeline,1,108,farmer
Original,0,farmer,objects,type,table,4,108,farmer
Original,0,farmer,objects,type,terra cotta pieces,1,108,farmer
Original,0,farmer,objects,type,textile,14,108,farmer
Original,0,farmer,objects,type,throw blanket,5,108,farmer
Original,0,farmer,objects,type,tilled soil,1,108,farmer
Original,0,farmer,objects,type,tin canisters,1,108,farmer
Original,0,farmer,objects,type,tree canopies,1,108,farmer
Original,0,farmer,objects,type,tree clump,1,108,farmer
Original,0,farmer,objects,type,tree line,2,108,farmer
Original,0,farmer,objects,type,tree mass,1,108,farmer
Original,0,farmer,objects,type,vegetation,17,108,farmer
Original,0,farmer,objects,type,vegetation band,1,108,farmer
Original,0,farmer,objects,type,vehicle,3,108,farmer
Original,0,farmer,objects,type,vertical wooden planks,1,108,farmer
Original,0,farmer,objects,type,wall lamp,1,108,farmer
Original,0,farmer,objects,type,wallpaper,1,108,farmer
Original,0,farmer,objects,type,wheat rows,1,108,farmer
Original,0,farmer,objects,type,wicker baskets,1,108,farmer
Original,0,farmer,objects,type,window,12,108,farmer
Original,0,farmer,objects,type,window array,1,108,farmer
Original,0,farmer,objects,type,wooden utensils,1,108,farmer
Original,0,farmer,objects,type,woven baskets,2,108,farmer
Original,0,farmer,people,activities,gathering soil,1,17,farmer
Original,0,farmer,people,activities,handling soil,1,17,farmer
Original,0,farmer,people,activities,hands resting or gathering straw,1,17,farmer
Original,0,farmer,people,activities,holding basket,1,17,farmer
Original,0,farmer,people,activities,holding hand tool,1,17,farmer
Original,0,farmer,people,activities,holding soil clump,1,17,farmer
Original,0,farmer,people,activities,holding straw bundle,2,17,farmer
Original,0,farmer,people,activities,inspecting soil,2,17,farmer
Original,0,farmer,people,activities,letting soil fall,1,17,farmer
Original,0,farmer,people,activities,looking toward camera viewer,3,17,farmer
Original,0,farmer,people,activities,manipulating plants,1,17,farmer
Original,0,farmer,people,activities,planting,4,17,farmer
Original,0,farmer,people,activities,resting,1,17,farmer
Original,0,farmer,people,activities,sifting breaking clods,1,17,farmer
Original,0,farmer,people,activities,standing still,1,17,farmer
Original,0,farmer,people,activities,supporting produce,1,17,farmer
Original,0,farmer,people,activities,tending crops,1,17,farmer
Original,0,farmer,people,age_range,middle aged,13,2,farmer
Original,0,farmer,people,age_range,older adult,36,2,farmer
Original,0,farmer,people,clothing_color,beige,1,12,farmer
Original,0,farmer,people,clothing_color,black,13,12,farmer
Original,0,farmer,people,clothing_color,blue,25,12,farmer
Original,0,farmer,people,clothing_color,brown,14,12,farmer
Original,0,farmer,people,clothing_color,gray,13,12,farmer
Original,0,farmer,people,clothing_color,green,1,12,farmer
Original,0,farmer,people,clothing_color,palegreen,1,12,farmer
Original,0,farmer,people,clothing_color,red,3,12,farmer
Original,0,farmer,people,clothing_color,tan,5,12,farmer
Original,0,farmer,people,clothing_color,tomato,1,12,farmer
Original,0,farmer,people,clothing_color,white,4,12,farmer
Original,0,farmer,people,clothing_color,yellow,1,12,farmer
Original,0,farmer,people,clothing_garment,apron,1,11,farmer
Original,0,farmer,people,clothing_garment,belt,1,11,farmer
Original,0,farmer,people,clothing_garment,boots,2,11,farmer
Original,0,farmer,people,clothing_garment,hat,1,11,farmer
Original,0,farmer,people,clothing_garment,jeans,2,11,farmer
Original,0,farmer,people,clothing_garment,overalls,14,11,farmer
Original,0,farmer,people,clothing_garment,shirt,17,11,farmer
Original,0,farmer,people,clothing_garment,shoe,1,11,farmer
Original,0,farmer,people,clothing_garment,suspenders,4,11,farmer
Original,0,farmer,people,clothing_garment,trousers,4,11,farmer
Original,0,farmer,people,clothing_garment,work boots,1,11,farmer
Original,0,farmer,people,eyewear_frame_color,black,8,3,farmer
Original,0,farmer,people,eyewear_frame_color,dark blue,1,3,farmer
Original,0,farmer,people,eyewear_frame_color,silver,6,3,farmer
Original,0,farmer,people,eyewear_present,no,26,2,farmer
Original,0,farmer,people,eyewear_present,yes,18,2,farmer
