context_type,role,cohort,standardized_dimension,standardized_label,count,bins,filename
Original,farmer,objects,type,boots,2,44,farmer
Original,farmer,objects,type,bowls,1,44,farmer
Original,farmer,objects,type,container,1,44,farmer
Original,farmer,objects,type,couch,4,44,farmer
Original,farmer,objects,type,decorative bowl,1,44,farmer
Original,farmer,objects,type,farm tractor,1,44,farmer
Original,farmer,objects,type,fence,2,44,farmer
Original,farmer,objects,type,glass jars,2,44,farmer
Original,farmer,objects,type,hanging potted plant,1,44,farmer
Original,farmer,objects,type,hat,13,44,farmer
Original,farmer,objects,type,labeled cylindrical container,1,44,farmer
Original,farmer,objects,type,multi pane window,2,44,farmer
Original,farmer,objects,type,open storage shelf,1,44,farmer
Original,farmer,objects,type,plant,14,44,farmer
Original,farmer,objects,type,plant bundle,1,44,farmer
Original,farmer,objects,type,pole,1,44,farmer
Original,farmer,objects,type,potted houseplant,1,44,farmer
Original,farmer,objects,type,potted leafy plant,1,44,farmer
Original,farmer,objects,type,potted plant,9,44,farmer
Original,farmer,objects,type,rectangular multi pane,1,44,farmer
Original,farmer,objects,type,rubber boots,1,44,farmer
Original,farmer,objects,type,shelf,6,44,farmer
Original,farmer,objects,type,shoe,1,44,farmer
Original,farmer,objects,type,sofa,17,44,farmer
Original,farmer,objects,type,straw cowboy hat,1,44,farmer
Original,farmer,objects,type,straw hat,2,44,farmer
Original,farmer,objects,type,table,4,44,farmer
Original,farmer,objects,type,tree canopies,1,44,farmer
Original,farmer,objects,type,tree clump,1,44,farmer
Original,farmer,objects,type,wicker baskets,1,44,farmer
Original,farmer,objects,type,window,12,44,farmer
Original,farmer,objects,type,window array,1,44,farmer
Original,farmer,objects,type,wooden utensils,1,44,farmer
Original,farmer,objects,type,woven baskets,2,44,farmer
Original,farmer,people,activities,gathering soil,1,16,farmer
Original,farmer,people,activities,handling soil,1,16,farmer
Original,farmer,people,activities,hands resting or gathering straw,1,16,farmer
Original,farmer,people,activities,holding bag,1,16,farmer
Original,farmer,people,activities,holding tool,1,16,farmer
Original,farmer,people,activities,holding soil clump,1,16,farmer
Original,farmer,people,activities,holding straw bundle,2,16,farmer
Original,farmer,people,activities,inspecting soil,2,16,farmer
Original,farmer,people,activities,letting soil fall,1,16,farmer
Original,farmer,people,activities,looking toward camera,3,16,farmer
Original,farmer,people,activities,manipulating plants,1,16,farmer
Original,farmer,people,activities,planting,4,16,farmer
Original,farmer,people,activities,resting,1,16,farmer
Original,farmer,people,activities,sifting breaking clods,1,16,farmer
Original,farmer,people,activities,handling soil,1,16,farmer
Original,farmer,people,activities,supporting produce,1,16,farmer
Original,farmer,people,activities,tending crops,1,16,farmer
Original,farmer,people,age_range,middle aged,13,2,farmer
Original,farmer,people,age_range,older adult,36,2,farmer
Original,farmer,people,clothing_color,beige,1,12,farmer
Original,farmer,people,clothing_color,black,13,12,farmer
Original,farmer,people,clothing_color,blue,25,12,farmer
Original,farmer,people,clothing_color,brown,14,12,farmer
Original,farmer,people,clothing_color,gray,13,12,farmer
Original,farmer,people,clothing_color,green,1,12,farmer
Original,farmer,people,clothing_color,palegreen,1,12,farmer
Original,farmer,people,clothing_color,red,3,12,farmer
Original,farmer,people,clothing_color,tan,5,12,farmer
Original,farmer,people,clothing_color,tomato,1,12,farmer
Original,farmer,people,clothing_color,white,4,12,farmer
Original,farmer,people,clothing_color,yellow,1,12,farmer
Original,farmer,people,clothing_garment,apron,1,10,farmer
Original,farmer,people,clothing_garment,belt,1,10,farmer
Original,farmer,people,clothing_garment,boots,2,10,farmer
Original,farmer,people,clothing_garment,hat,1,10,farmer
Original,farmer,people,clothing_garment,jeans,2,10,farmer
Original,farmer,people,clothing_garment,overalls,14,10,farmer
Original,farmer,people,clothing_garment,shirt,17,10,farmer
Original,farmer,people,clothing_garment,suspenders,4,10,farmer
Original,farmer,people,clothing_garment,trousers,4,10,farmer
Original,farmer,people,clothing_garment,work boots,1,10,farmer
Original,farmer,people,eyewear_present,no,26,2,farmer
Original,farmer,people,eyewear_present,yes,18,2,farmer
Original,farmer,people,eyewear_type,eyeglasses,2,5,farmer
Original,farmer,people,eyewear_type,reading glasses,4,5,farmer
Original,farmer,people,eyewear_type,rectangular,4,5,farmer
Original,farmer,people,eyewear_type,rectangular metal rimmed,1,5,farmer
Original,farmer,people,eyewear_type,rectangular reading glasses,1,5,farmer
Original,farmer,people,hair_color,black,14,4,farmer
Original,farmer,people,hair_color,gray,24,4,farmer
Original,farmer,people,hair_color,tomato reddish,1,4,farmer
Original,farmer,people,hair_color,white,10,4,farmer
Original,farmer,people,facial_hair_present,no,5,2,farmer
Original,farmer,people,facial_hair_present,yes,30,2,farmer
Original,farmer,people,facial_hair_style,beard,10,7,farmer
Original,farmer,people,facial_hair_style,full beard,2,7,farmer
Original,farmer,people,facial_hair_style,moustache,12,7,farmer
Original,farmer,people,facial_hair_style,short beard,2,7,farmer
Original,farmer,people,facial_hair_style,sideburns,2,7,farmer
Original,farmer,people,facial_hair_style,stubbled,6,7,farmer
Original,farmer,people,facial_hair_style,trimmed,2,7,farmer
Original,farmer,people,gaze_direction,center,1,5,farmer
Original,farmer,people,gaze_direction,down,20,5,farmer
Original,farmer,people,gaze_direction,left,2,5,farmer
Original,farmer,people,gaze_direction,right,1,5,farmer
Original,farmer,people,gaze_direction,up,11,5,farmer
Original,farmer,people,gender_presentation,male,59,1,farmer
Original,farmer,people,hair_color,black,19,4,farmer
Original,farmer,people,hair_color,gray,38,4,farmer
Original,farmer,people,hair_color,white,6,4,farmer
Original,farmer,people,hair_present,yes,39,1,farmer
Original,farmer,people,hair_style,shaved,1,2,farmer
Original,farmer,people,hair_style,short,37,2,farmer
Original,farmer,people,head_covering_type,beige,9,31,farmer
Original,farmer,people,head_covering_type,black,6,31,farmer
Original,farmer,people,head_covering_type,black coverings,3,31,farmer
Original,farmer,people,head_covering_type,brown,2,31,farmer
Original,farmer,people,head_covering_type,dark gray,1,31,farmer
Original,farmer,people,head_covering_type,dark violet,1,31,farmer
Original,farmer,people,head_covering_type,darkblue,1,31,farmer
Original,farmer,people,head_covering_type,darkviolet,4,31,farmer
Original,farmer,people,head_covering_type,gray,2,31,farmer
Original,farmer,people,head_covering_type,green,2,31,farmer
Original,farmer,people,head_covering_type,lightyellow,2,31,farmer
Original,farmer,people,head_covering_type,olive drab,2,31,farmer
Original,farmer,people,head_covering_type,pale green,1,31,farmer
Original,farmer,people,head_covering_type,tan,9,31,farmer
Original,farmer,people,head_covering_type,tan coverings,3,31,farmer
Original,farmer,people,head_covering_type,tomato,7,31,farmer
Original,farmer,people,head_covering_type,tomato reddish,1,31,farmer
Original,farmer,people,head_covering_type,yellow,3,31,farmer
Original,farmer,people,head_covering_present,no,2,2,farmer
Original,farmer,people,head_covering_present,yes,47,2,farmer
Original,farmer,people,head_covering_type,baseball cap,1,31,farmer
Original,farmer,people,head_covering_type,cowboy hat,1,31,farmer
Original,farmer,people,head_covering_type,fedora,1,31,farmer
Original,farmer,people,head_covering_type,felt hat,1,31,farmer
Original,farmer,people,head_covering_type,flat cap,1,31,farmer
Original,farmer,people,head_covering_type,generic hat,1,31,farmer
Original,farmer,people,head_covering_type,straw hat,7,31,farmer
Original,farmer,people,head_covering_type,straw hat merged variants,18,31,farmer
Original,farmer,people,head_covering_type,straw hat normalized variants,6,31,farmer
Original,farmer,people,head_covering_type,wide brim woven hat,1,31,farmer
Original,farmer,people,head_covering_type,wide brimmed hat unspecified,1,31,farmer
Original,farmer,people,head_covering_type,wide brimmed straw hat,1,31,farmer
Original,farmer,people,head_covering_type,wide brimmed sunhat,3,31,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,leaning,2,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,leaning,5,4,farmer
Original,farmer,people,pose,leaning,1,4,farmer
Original,farmer,people,pose,leaning,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,leaning,4,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,leaning,1,4,farmer
Original,farmer,people,pose,leaning,7,4,farmer
Original,farmer,people,pose,leaning,1,4,farmer
Original,farmer,people,pose,leaning,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,2,4,farmer
Original,farmer,people,pose,laying,3,4,farmer
Original,farmer,people,pose,standing,7,4,farmer
Original,farmer,people,pose,seated,9,4,farmer
Original,farmer,people,pose,leaning,6,4,farmer
Original,farmer,people,pose,standing,2,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,7,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,4,4,farmer
Original,farmer,people,pose,standing,10,4,farmer
Original,farmer,people,pose,standing,2,4,farmer
Original,farmer,people,pose,standing,4,4,farmer
Original,farmer,people,pose,standing,4,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,4,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,leaning,2,4,farmer
Original,farmer,people,pose,standing,2,4,farmer
Original,farmer,people,pose,standing,1,4,farmer
Original,farmer,people,pose,standing,9,4,farmer
Original,farmer,people,pose,standing,3,4,farmer
Original,farmer,people,skin_tone,light,35,2,farmer
Original,farmer,people,skin_tone,medium,13,2,farmer
Original,ceo,scene_appearance,aesthetic_qualities,cinematic,14,3,ceo
Original,ceo,scene_appearance,aesthetic_qualities,minimal,4,3,ceo
Original,ceo,scene_appearance,aesthetic_qualities,realistic,32,3,ceo
Original,ceo,scene_appearance,color_temperature,cool,23,3,ceo
Original,ceo,scene_appearance,color_temperature,neutral,13,3,ceo
Original,ceo,scene_appearance,color_temperature,warm,3,3,ceo
Original,ceo,scene_appearance,dominant_colors,black,1,5,ceo
Original,ceo,scene_appearance,dominant_colors,brown,9,5,ceo
Original,ceo,scene_appearance,dominant_colors,black,11,5,ceo
Original,ceo,scene_appearance,dominant_colors,blue,2,5,ceo
Original,ceo,scene_appearance,dominant_colors,brown,15,5,ceo
Original,ceo,scene_appearance,dominant_colors,orange,1,5,ceo
Original,ceo,scene_appearance,dominant_colors,red,1,5,ceo
Original,ceo,scene_appearance,mood,calm,44,3,ceo
Original,ceo,scene_appearance,mood,joyful,2,3,ceo
Original,ceo,scene_appearance,mood,minimalistic,2,3,ceo
Original,ceo,camera,depth_of_field,deep,20,8,ceo
Original,ceo,camera,depth_of_field,deep dof,2,8,ceo
Original,ceo,camera,depth_of_field,moderate,9,8,ceo
Original,ceo,camera,depth_of_field,moderate dof,1,8,ceo
Original,ceo,camera,depth_of_field,per image share,0,8,ceo
Original,ceo,camera,depth_of_field,shallow,26,8,ceo
Original,ceo,camera,depth_of_field,shallow dof,6,8,ceo
Original,ceo,camera,depth_of_field,within attribute share,0,8,ceo
Original,ceo,camera,framing,close up,1,6,ceo
Original,ceo,camera,framing,establishing,7,6,ceo
Original,ceo,camera,framing,full body,8,6,ceo
Original,ceo,camera,framing,headshot,4,6,ceo
Original,ceo,camera,framing,medium,26,6,ceo
Original,ceo,camera,framing,wide,19,6,ceo
Original,ceo,camera,perspective,eye level,58,3,ceo
Original,ceo,camera,perspective,per image share,0,3,ceo
Original,ceo,camera,perspective,within attribute share,0,3,ceo
Original,ceo,objects,type,desk,35,45,ceo
Original,ceo,objects,type,potted plant,4,45,ceo
Original,ceo,objects,type,wristwatch,3,45,ceo
Original,ceo,objects,type,belt,1,45,ceo
Original,ceo,objects,type,book like,1,45,ceo
Original,ceo,objects,type,cabinet,1,45,ceo
Original,ceo,objects,type,chair,14,45,ceo
Original,ceo,objects,type,credenza or cabinet,1,45,ceo
Original,ceo,objects,type,cup,1,45,ceo
Original,ceo,objects,type,desk,2,45,ceo
Original,ceo,objects,type,desktop accessory,1,45,ceo
Original,ceo,objects,type,digital display screens,1,45,ceo
Original,ceo,objects,type,dishware,1,45,ceo
Original,ceo,objects,type,endcap display,1,45,ceo
Original,ceo,objects,type,endcap shelving,1,45,ceo
Original,ceo,objects,type,eyeglasses,1,45,ceo
Original,ceo,objects,type,glassware,1,45,ceo
Original,ceo,objects,type,hanging sign,1,45,ceo
Original,ceo,objects,type,lamp,1,45,ceo
Original,ceo,objects,type,mouse,1,45,ceo
Original,ceo,objects,type,mug,1,45,ceo
Original,ceo,objects,type,notebook,2,45,ceo
Original,ceo,objects,type,office chair,28,45,ceo
Original,ceo,objects,type,overhead sign,1,45,ceo
Original,ceo,objects,type,packaged box,1,45,ceo
Original,ceo,objects,type,paper,8,45,ceo
Original,ceo,objects,type,paperwork,1,45,ceo
Original,ceo,objects,type,plant,8,45,ceo
Original,ceo,objects,type,planters,1,45,ceo
Original,ceo,objects,type,produce basket,1,45,ceo
Original,ceo,objects,type,refrigerated produce shelf,2,45,ceo
Original,ceo,objects,type,refrigerated shelf,10,45,ceo
Original,ceo,objects,type,shelf edge sale tags,1,45,ceo
Original,ceo,objects,type,shelf price strip,1,45,ceo
Original,ceo,objects,type,shelving with books,1,45,ceo
Original,ceo,objects,type,shopping basket,1,45,ceo
Original,ceo,objects,type,shopping cart,9,45,ceo
Original,ceo,objects,type,sign,1,45,ceo
Original,ceo,objects,type,table,10,45,ceo
Original,ceo,objects,type,table port,1,45,ceo
Original,ceo,objects,type,tabletop,2,45,ceo
Original,ceo,objects,type,tableware,1,45,ceo
Original,ceo,objects,type,watch,1,45,ceo
Original,ceo,objects,type,window,6,45,ceo
Original,ceo,objects,type,window glazing,1,45,ceo
Original,ceo,objects,type,window grid,1,45,ceo
Original,ceo,people,activities,posing for camera,1,5,ceo
Original,ceo,people,activities,smiling,2,5,ceo
Original,ceo,people,activities,standing,8,5,ceo
Original,ceo,people,gaze_direction,up,5,2,ceo
Original,ceo,people,activities,front,8,5,ceo
Original,ceo,people,activities,three quarter,1,5,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,hands_pockets,4,4,ceo
Original,ceo,people,pose,standing,7,4,ceo
Original,ceo,people,pose,standing,10,4,ceo
Original,ceo,people,age_range,middle aged,62,3,ceo
Original,ceo,people,age_range,older adult,4,3,ceo
Original,ceo,people,age_range,young adult,11,3,ceo
Original,ceo,people,clothing_color,black,33,8,ceo
Original,ceo,people,clothing_color,blue,66,8,ceo
Original,ceo,people,clothing_color,brown,2,8,ceo
Original,ceo,people,clothing_color,gray,10,8,ceo
Original,ceo,people,clothing_color,pink,2,8,ceo
Original,ceo,people,clothing_color,red,3,8,ceo
Original,ceo,people,clothing_color,tan,2,8,ceo
Original,ceo,people,clothing_color,white,33,8,ceo
Original,ceo,people,clothing_color,black,13,8,ceo
Original,ceo,people,clothing_color,blue,29,8,ceo
Original,ceo,people,clothing_color,gray,16,8,ceo
Original,ceo,people,clothing_color,red,2,8,ceo
Original,ceo,people,clothing_color,white,16,8,ceo
Original,ceo,people,clothing_garment,belt,9,13,ceo
Original,ceo,people,clothing_garment,dress shoes,4,13,ceo
Original,ceo,people,clothing_garment,dress trousers,1,13,ceo
Original,ceo,people,clothing_garment,neck tie,4,13,ceo
Original,ceo,people,clothing_garment,necktie,2,13,ceo
Original,ceo,people,clothing_garment,necktie neck tie ne from s,7,13,ceo
Original,ceo,people,clothing_garment,shirt,19,13,ceo
Original,ceo,people,clothing_garment,shoes,2,13,ceo
Original,ceo,people,clothing_garment,suit jacket,16,13,ceo
Original,ceo,people,clothing_garment,tie,3,13,ceo
Original,ceo,people,clothing_garment,trousers,6,13,ceo
Original,ceo,people,clothing_garment,watch belt accessory,1,13,ceo
Original,ceo,people,clothing_garment,wristwatch,2,13,ceo
Original,ceo,people,eyewear_present,no,37,2,ceo
Original,ceo,people,eyewear_present,yes,38,2,ceo
Original,ceo,people,eyewear_type,eyeglasses,1,7,ceo
Original,ceo,people,eyewear_type,eyeglasses generic,2,7,ceo
Original,ceo,people,eyewear_type,eyeglasses rectangular,10,7,ceo
Original,ceo,people,eyewear_type,prescription,1,7,ceo
Original,ceo,people,eyewear_type,rectangular frame,6,7,ceo
Original,ceo,people,eyewear_type,rectangular glasses,7,7,ceo
Original,ceo,people,eyewear_type,thin framed glasses,4,7,ceo
Original,ceo,people,hair_color,black,9,9,ceo
Original,ceo,people,hair_color,brown,1,9,ceo
Original,ceo,people,hair_color,dark blue,1,9,ceo
Original,ceo,people,hair_color,darkblue,1,9,ceo
Original,ceo,people,hair_color,gray,3,9,ceo
Original,ceo,people,hair_color,tomato token,1,9,ceo
Original,ceo,people,facial_hair_present,no,55,2,ceo
Original,ceo,people,facial_hair_present,yes,17,2,ceo
Original,ceo,people,facial_hair_style,beard,1,8,ceo
Original,ceo,people,facial_hair_style,closely trimmed full beard,1,8,ceo
Original,ceo,people,facial_hair_style,light stubble,1,8,ceo
Original,ceo,people,facial_hair_style,moustache goatee,1,8,ceo
Original,ceo,people,facial_hair_style,stubble,1,8,ceo
Original,ceo,people,facial_hair_style,stubble beard,1,8,ceo
Original,ceo,people,facial_hair_style,trimmed beard,6,8,ceo
Original,ceo,people,facial_hair_style,trimmed stubble,3,8,ceo
Original,ceo,people,gaze_direction,left,1,2,ceo
Original,ceo,people,gaze_direction,up,7,2,ceo
Original,ceo,people,gender_presentation,female,12,2,ceo
Original,ceo,people,gender_presentation,male,70,2,ceo
Original,ceo,people,hair_color,black,13,9,ceo
Original,ceo,people,hair_color,brown,25,9,ceo
Original,ceo,people,hair_color,gray,43,9,ceo
Original,ceo,people,hair_color,maroon,1,9,ceo
Original,ceo,people,hair_color,pink,2,9,ceo
Original,ceo,people,hair_color,white,1,9,ceo
Original,ceo,people,hair_present,yes,81,1,ceo
Original,ceo,people,hair_style,long,9,5,ceo
Original,ceo,people,hair_style,shaved,2,5,ceo
Original,ceo,people,hair_style,short,66,5,ceo
Original,ceo,people,hair_style,straight,17,5,ceo
Original,ceo,people,hair_style,wavy,1,5,ceo
Original,ceo,people,head_covering_present,no,71,1,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,leaning,1,4,ceo
Original,ceo,people,pose,hands_pockets,1,4,ceo
Original,ceo,people,pose,leaning,1,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,standing,0,4,ceo
Original,ceo,people,pose,standing,8,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,seated,6,4,ceo
Original,ceo,people,pose,leaning,2,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,leaning,1,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,standing,16,4,ceo
Original,ceo,people,pose,seated,1,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,standing,1,4,ceo
Original,ceo,people,pose,standing,0,4,ceo
Original,ceo,people,skin_tone,light,67,2,ceo
Original,ceo,people,skin_tone,medium,14,2,ceo
Original,dancer,scene_appearance,aesthetic_qualities,cinematic,36,4,dancer
Original,dancer,scene_appearance,aesthetic_qualities,dreamy,22,4,dancer
Original,dancer,scene_appearance,aesthetic_qualities,minimal,2,4,dancer
Original,dancer,scene_appearance,aesthetic_qualities,realistic,27,4,dancer
Original,dancer,scene_appearance,color_temperature,warm,25,3,dancer
Original,dancer,scene_appearance,dominant_colors,black,3,6,dancer
Original,dancer,scene_appearance,dominant_colors,brown,47,6,dancer
Original,dancer,scene_appearance,dominant_colors,lightgreen,11,6,dancer
Original,dancer,scene_appearance,dominant_colors,mediumvioletred,11,6,dancer
Original,dancer,scene_appearance,dominant_colors,orangered,1,6,dancer
Original,dancer,scene_appearance,dominant_colors,red,5,6,dancer
Original,dancer,scene_appearance,mood,calm,39,4,dancer
Original,dancer,scene_appearance,mood,dramatic,18,4,dancer
Original,dancer,scene_appearance,mood,melancholic,1,4,dancer
Original,dancer,scene_appearance,mood,minimalistic,1,4,dancer
Original,dancer,scene_appearance,color_temperature,cool,2,3,dancer
Original,dancer,scene_appearance,color_temperature,neutral,2,3,dancer
Original,dancer,scene_appearance,color_temperature,warm,19,3,dancer
Original,dancer,camera,depth_of_field,deep,1,5,dancer
Original,dancer,camera,depth_of_field,moderate,2,5,dancer
Original,dancer,camera,depth_of_field,moderate dof,1,5,dancer
Original,dancer,camera,depth_of_field,shallow,46,5,dancer
Original,dancer,camera,depth_of_field,shallow dof,5,5,dancer
Original,dancer,camera,framing,establishing shot,1,5,dancer
Original,dancer,camera,framing,full body,27,5,dancer
Original,dancer,camera,framing,headshot,1,5,dancer
Original,dancer,camera,framing,medium,16,5,dancer
Original,dancer,camera,framing,wide,7,5,dancer
Original,dancer,camera,perspective,eye level,36,3,dancer
Original,dancer,camera,perspective,low angle,5,3,dancer
Original,dancer,camera,perspective,third person,3,3,dancer
Original,dancer,objects,type,ballet barre,1,51,dancer
Original,dancer,objects,type,bench,1,51,dancer
Original,dancer,objects,type,bowl,3,51,dancer
Original,dancer,objects,type,cabinet,6,51,dancer
Original,dancer,objects,type,ceramic or glass cooktop,30,51,dancer
Original,dancer,objects,type,container,9,51,dancer
Original,dancer,objects,type,cookware,3,51,dancer
Original,dancer,objects,type,cutting board,4,51,dancer
Original,dancer,objects,type,doorway,1,51,dancer
Original,dancer,objects,type,glass jar,4,51,dancer
Original,dancer,objects,type,knife,1,51,dancer
Original,dancer,objects,type,open wooden shelving,5,51,dancer
Original,dancer,objects,type,plant,8,51,dancer
Original,dancer,objects,type,plates,1,51,dancer
Original,dancer,objects,type,pots and pans,1,51,dancer
Original,dancer,objects,type,shelf unit,1,51,dancer
Original,dancer,objects,type,storage jars,1,51,dancer
Original,dancer,objects,type,stovetop,2,51,dancer
Original,dancer,objects,type,tomatoes,7,51,dancer
Original,dancer,objects,type,tree,2,51,dancer
Original,dancer,objects,type,utensil rail,3,51,dancer
Original,dancer,objects,type,window,9,51,dancer
Original,dancer,objects,type,window mullion,1,51,dancer
Original,dancer,objects,type,wooden cutting board,6,51,dancer
Original,dancer,objects,type,bowl,1,51,dancer
Original,dancer,objects,type,built microwave,1,51,dancer
Original,dancer,objects,type,built oven,1,51,dancer
Original,dancer,objects,type,cabinet,6,51,dancer
Original,dancer,objects,type,ceramic bowl,8,51,dancer
Original,dancer,objects,type,container,1,51,dancer
Original,dancer,objects,type,cutting board,1,51,dancer
Original,dancer,objects,type,faucet,1,51,dancer
Original,dancer,objects,type,glass bowl,1,51,dancer
Original,dancer,objects,type,glass carafe,1,51,dancer
Original,dancer,objects,type,glass pitcher,1,51,dancer
Original,dancer,objects,type,hanging cookware array,1,51,dancer
Original,dancer,objects,type,kettle,2,51,dancer
Original,dancer,objects,type,kitchen cabinet,35,51,dancer
Original,dancer,objects,type,lamp,1,51,dancer
Original,dancer,objects,type,matte black kettle,1,51,dancer
Original,dancer,objects,type,microwave,1,51,dancer
Original,dancer,objects,type,mixing bowl,1,51,dancer
Original,dancer,objects,type,multi pane window,3,51,dancer
Original,dancer,objects,type,open shelves sink,1,51,dancer
Original,dancer,objects,type,paper towel roll,2,51,dancer
Original,dancer,objects,type,pendant lamp,1,51,dancer
Original,dancer,objects,type,plant,4,51,dancer
Original,dancer,objects,type,potted plants,7,51,dancer
Original,dancer,objects,type,sink group,1,51,dancer
Original,dancer,objects,type,sink shelving,1,51,dancer
Original,dancer,objects,type,sink shelving plant group,1,51,dancer
Original,dancer,objects,type,small bowl or dish,1,51,dancer
Original,dancer,objects,type,spice jars mug,1,51,dancer
Original,dancer,objects,type,stainless steel extractor hood,1,51,dancer
Original,dancer,objects,type,stovetop,1,51,dancer
Original,dancer,objects,type,table lamp,1,51,dancer
Original,dancer,objects,type,two door refrigerator,1,51,dancer
Original,dancer,objects,type,utensil rail,1,51,dancer
Original,dancer,objects,type,window,5,51,dancer
Original,dancer,people,activities,planting,2,16,dancer
Original,dancer,people,activities,balancing en pointe,1,16,dancer
Original,dancer,people,activities,balancing en pointe,1,16,dancer
Original,dancer,people,activities,balancing en pointe,1,16,dancer
Original,dancer,people,activities,ballet pose,19,16,dancer
Original,dancer,people,activities,en pointe extension,1,16,dancer
Original,dancer,people,activities,interacting airflow,1,16,dancer
Original,dancer,people,activities,leaping,1,16,dancer
Original,dancer,people,activities,lifting skirt,1,16,dancer
Original,dancer,people,activities,mid turn,1,16,dancer
Original,dancer,people,activities,performing deep backbend,1,16,dancer
Original,dancer,people,activities,performing under stage lights,1,16,dancer
Original,dancer,people,activities,reaching extended foot,1,16,dancer
Original,dancer,people,activities,rehearsal,1,16,dancer
Original,dancer,people,activities,rehearsal,1,16,dancer
Original,dancer,people,activities,rotation turn inferred,1,16,dancer
Original,dancer,people,activities,skirt mid motion,1,16,dancer
Original,dancer,people,activities,solo balance,1,16,dancer
Original,dancer,people,activities,solo performance,1,16,dancer
Original,dancer,people,age_range,child,1,3,dancer
Original,dancer,people,age_range,teen,1,3,dancer
Original,dancer,people,age_range,young adult,38,3,dancer
Original,dancer,people,clothing_color,black,22,8,dancer
Original,dancer,people,clothing_color,gray,3,8,dancer
Original,dancer,people,clothing_color,mediumblue,1,8,dancer
