Model,prompt_group,dimension,cohort,Context,occupation,chi.value,df,p_value,p_adj
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,novelist,38.500670011525465,15,7.606019766284765e-4,0.001877900052641342
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,nurse,792.7526900251321,15,3.010720196236144e-159,6.3247207643180805e-158
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,optician,3.511722035251447,15,0.9989489612329983,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,paramedic,98.2578217905028,15,2.7880658335742917e-14,1.617492345852148e-13
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,pharmacist,33.95752369509292,15,0.003452433702858979,0.007672868695024405
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,photographer,41.261381111871884,15,2.9172441520197034e-4,7.625482736280284e-4
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,physician,1033.3159034813518,15,9.715779170923946e-211,2.371533370357345e-209
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,physicist,31.393253310968177,15,0.007779168689151514,0.016282012965893163
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,pilot,258.3693394798941,15,2.337683142320401e-46,2.758979884452869e-45
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,playwright,5.050084365973924,15,0.9916938025157009,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,plumber,68.78748343884416,15,7.33853617263099e-9,3.1573711965571085e-8
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,poet,370.11981981981984,15,1.289260308558073e-69,1.8617352220388174e-68
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,police_officer,127.50230015382488,15,6.548496149070458e-20,4.688723242734448e-19
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,politician,30.144961380269176,15,0.011409382248294759,0.02321321626269206
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,railway_conductor,14.985855269785816,15,0.45243656707956525,0.5728462989018015
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,receptionist,25.984910188842974,15,0.038181583494136855,0.06860843995894514
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,researcher,44.055107351425505,15,1.078008239795486e-4,2.961076341535427e-4
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,salesperson,64.5560905853902,15,4.086679111968305e-8,1.6423174429388063e-7
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,scientist,83.13935180576112,15,1.8540843666353515e-11,9.310516001245435e-11
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,screenwriter,14.798206824142255,15,0.46604813633377024,0.5862790025446198
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,sculptor,61.9014568876383,15,1.1846625340020249e-7,4.6245436129692857e-7
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,seamstress,10.502627759785687,15,0.7869899730975987,0.898461048213469
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,secretary,32.462569186264595,15,0.005566162398393801,0.011989045875790357
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,sheriff,2010.6890745377025,15,0,0
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,singer,1599.9374749069605,15,0,0
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,social_worker,368.10834471228594,15,3.402740846185419e-69,4.87272489173752e-68
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,software_engineer,60.837393694156965,15,1.8094585876429683e-7,6.915866630350704e-7
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,soldier,124.4945905023711,15,2.529396751279715e-19,1.7784432804415147e-18
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,stage_manager,55.77726040206543,15,1.3213038530607133e-6,4.662201327799006e-6
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,supervisor,87.22756417420814,15,3.2535537299617534e-12,1.7181643299220273e-11
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,surgeon,47.64956080579883,15,2.8960386959946813e-5,8.694187447933718e-5
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,tailor,21.473382177699044,15,0.12237413055523369,0.19034006693167413
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,taxi_driver,11.101376832436909,15,0.7453753771499914,0.8585139082747234
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,teacher,13.88248518500115,15,0.5344597999911558,0.6580342299938737
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,train_driver,27.668606822624565,15,0.023737938029385265,0.044845286620157916
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,truck_driver,38.038248225569994,15,8.906242193188512e-4,0.0021813692395631613
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,waiter,17.27153068615801,15,0.30289312796919304,0.4148665320438875
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,waitress,15.99872996706489,15,0.38213607406596495,0.49762248383976515
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,web_developer,97.370155484796,15,4.102163130403845e-14,2.359155663750323e-13
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,welder,44.40262738006595,15,9.508634888423727e-5,2.6371268870670325e-4
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Related_CA-R,writer,93.94902422430309,15,1.808221805428315e-13,1.0068854019598239e-12
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,accountant,8.091624277718088,15,0.9200568110345831,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,actor,33.76394248100372,15,0.003674932401853766,0.008142088498382558
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,analyst,17.842187401521848,15,0.27105313789302254,0.38004056148447285
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,architect,12.38149684689294,15,0.6499533083900713,0.7686715520560897
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,artist,31.296061289527064,15,0.008017095513730092,0.016727266793095906
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,assistant,5.2019913761069,15,0.9902736342385141,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,athlete,9.888546187896377,15,0.82669145892215,0.9272758505299104
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,attendant,19.626350016261984,15,0.18673962649142603,0.27454943032414997
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,auditor,10.043504763488446,15,0.8169944568904746,0.9169975667672053
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,baker,31.880825646154314,15,0.006682933945883339,0.014195245602726737
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,bartender,10.442631053992745,15,0.7910127543074871,0.900898937567594
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,biologist,17.938265327845503,15,0.26592505300401936,0.37376542702609755
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,blacksmith,35.77807800846533,15,0.0019028485923029675,0.004439118953317159
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,bus_driver,24.372552240116978,15,0.05903099408213381,0.100853907566851
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,carpenter,159.4268013343124,15,3.200075470528166e-26,2.7249800240612485e-25
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,cashier,13.434837804926556,15,0.5687497062800025,0.6889464932127143
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,ceo,32.841538433856066,15,0.004936539465148018,0.01073169333816364
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,chef,20.733107259621498,15,0.14557554615413087,0.22071379787476486
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,chemist,65.45887632304306,15,2.838929191483678e-8,1.169323087882443e-7
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,chief,50.27221235111677,15,1.086821409706478e-5,3.4533911065821224e-5
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,cleaner,21.3228138464004,15,0.12682850278956884,0.19638906321527377
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,clerk,9.720772326825166,15,0.8369267967559069,0.9363118538706707
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,coach,161.89441735815862,15,1.0282813901529453e-26,8.861578439512645e-26
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,comedian,22.07610738407443,15,0.10582377020070982,0.16769417808271833
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,constructor,89.16692804682933,15,1.4182357251207502e-12,7.620688774382417e-12
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,cook,2.9680489649955297,15,0.9996236781237683,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,counselor,152.1378633574549,15,9.070349855553234e-25,7.479121493177868e-24
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,dancer,37.498116404606364,15,0.0010697872150583843,0.0025848177029757138
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,data_scientist,35.39461153656468,15,0.002159881833628763,0.005004774734233638
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,dentist,380.8823559644514,15,7.141006700814434e-72,1.0470226889658297e-70
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,designer,48.14463952276004,15,2.4099907399784964e-5,7.309085929366482e-5
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,detective,23.618705035294948,15,0.07185794062465238,0.11976788086266019
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,developer,25.95606770639282,15,0.03848698870981145,0.06900242310831757
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,doctor,1369.6421835844026,15,5.6134899642722385e-283,1.545868774776509e-281
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,driver,7.368044698348484,15,0.9466207783107635,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,editor,8.23534039375077,15,0.914001215747604,0.9963479788604593
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,electrician,31.5982492220189,15,0.007299025997987429,0.01542381489786227
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,engineer,83.95822676319435,15,1.309918580906668e-11,6.703287937552169e-11
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,entrepreneur,10.577520788552206,15,0.7819280578070187,0.893750947542624
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,factory_worker,15.011683128193008,15,0.45057597778862357,0.5709111932104193
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,farmer,11.866459824685757,15,0.6891076331669639,0.8078609338478038
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,film_director,24.5648071648366,15,0.05610204810143559,0.09646363764009097
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,firefighter,62.6015888437459,15,8.95645911360754e-8,3.5219174692959263e-07
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,flight_attendant,55.64090122788644,15,1.3931363682750926e-6,4.859856953398131e-6
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,game_developer,206.35936091267396,15,1.0810032202637386e-35,1.1057118652983382e-34
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,guard,53.653453395311196,15,3.001243577956654e-6,1.0168251112698569e-5
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,hairdresser,26.78666886736063,15,0.030523334966317466,0.05638711976577073
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,housekeeper,25.30991522460475,15,0.04593299003730369,0.08100497750421044
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,janitor,21.556083166719283,15,0.11998315633180064,0.1871972542587309
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,journalist,28.587824899871677,15,0.01816608437892411,0.03508271453893368
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,judge,26.619802437266102,15,0.031991149219461903,0.0585697750039669
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,laborer,20.286762420915416,15,0.16120593927457466,0.24084184146185802
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,lawyer,25.713037017111816,15,0.04114932689888168,0.07324529039055135
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,librarian,154.65740054352628,15,2.85916762202585e-25,2.3804232760122193e-24
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,machinist,16.629723357525943,15,0.3414769294804033,0.4557976973894089
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,manager,6.105306605315601,15,0.977924023008824,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,marketing_specialist,55.3865516689673,15,1.5375779761250446e-6,5.3463658319977265e-6
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,mechanic,28.480082962704856,15,0.018749965225587424,0.036079898181586585
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,mover,19.41866342032316,15,0.19538496419876802,0.28503058407142656
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,musician,31.951927396528166,15,0.006535850048741074,0.0138965661021488
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,novelist,58.93581877523659,15,3.8396998477121493e-7,1.4306461878379352e-6
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,nurse,304.6754946238163,15,5.963206097420066e-56,7.798457654342954e-55
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,optician,12.161160809632726,15,0.6667917064054998,0.7850197782181494
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,paramedic,67.00419418413118,15,1.5177022072774227e-8,6.42235555108559e-8
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,pharmacist,12.044636918148449,15,0.6756472793774709,0.7941397297416184
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,photographer,369.2009268974826,15,2.0086184106378389e-69,2.8811434698164124e-68
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,physician,782.905128357375,15,3.8180889176745855e-157,7.962383490451466e-156
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,physicist,8.57192003388056,15,0.8988165699405372,0.9837515736151278
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,pilot,122.3402476232689,15,6.643667389469191e-19,4.599709122507598e-18
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,playwright,11.218096030606274,15,0.7369862274635323,0.8525899645033889
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,plumber,24.87684001933227,15,0.051622097203009226,0.08960344629661723
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,poet,44.721470174993364,15,8.471844367638744e-5,2.3625474458536868e-4
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,police_officer,582.3295579044653,15,2.010403967591842e-114,3.690895489219894e-113
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,politician,10.206232167015113,15,0.8065706591807629,0.912899329889734
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,railway_conductor,11.935279111371088,15,0.6839211954995706,0.8028762005372744
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,receptionist,21.32261064903277,15,0.126834603326531,0.19638906321527377
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,researcher,14.362743628239468,15,0.4982147083157978,0.6198466223355538
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,salesperson,5.3767291563390796,15,0.9884275792658749,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,scientist,182.8393761375867,15,6.356367645652909e-31,6.0015286605988784e-30
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,screenwriter,53.39163933792386,15,3.3185843093724984e-6,1.1186063705817381e-5
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,sculptor,3.184958496367892,15,0.9994183886344796,1
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,seamstress,27.364443430027688,15,0.025903507304798415,0.04863700497439423
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,secretary,14.24769687731338,15,0.5068322804517024,0.6284749536211612
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,sheriff,989.8090272084453,15,2.059145408870714e-201,4.900880153190353e-200
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,singer,1093.417236824415,15,1.24718034523438e-223,3.106021311957621e-222
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,social_worker,15.174945946021289,15,0.43889049922117335,0.5575025383365348
92_job_description_3.5,ALL_TYPES,accessories,people,Context-aware_Unrelated_CA-U,software_engineer,15.635180069393295,15,0.40670315975908056,0.5246837160135165
